,Column1,Column2,Sum of Function Results
251,Punjabi,Saraiki,0.7569874254944418
252,Punjabi,Gujarati,0.5802899513389506
253,Punjabi,Konkani,0.5282610632047025
254,Punjabi,Hindi,0.7512395306046099
255,Punjabi,Sinhalese,0.48122194153534226
256,Punjabi,Bengali,0.5822635028409127
257,Punjabi,Sanskrit,0.5347586880483131
258,Punjabi,Nepali,0.6130776583962688
259,Punjabi,Pali,0.5718193661257843
260,Punjabi,Assamese,0.48603047133067834
261,Punjabi,Bhojpuri,0.6800926161059586
262,Punjabi,Dhivehi,0.44862364926777165
263,Punjabi,Romani,0.4523543518482556
264,Punjabi,Odia,0.5554241322242243
265,Punjabi,Kashmiri,0.39054550234674457
266,Romani,Odia,0.47163427912220174
267,Romani,Konkani,0.418928835054899
268,Romani,Gujarati,0.4469920982918452
269,Romani,Marathi,0.46454750933701927
270,Romani,Assamese,0.43256815860910636
271,Romani,Bengali,0.44736961825758703
272,Romani,Dhivehi,0.3551257533544168
273,Romani,Kashmiri,0.301574886530028
274,Romani,Sinhalese,0.37363970778901967
275,Romani,Nepali,0.5083243346298327
276,Romani,Punjabi,0.4523543518482556
277,Romani,English,0.3076146901773771
278,Romani,Sindhi,0.4444350514398823
279,Romani,Saraiki,0.45323024409750884
280,Romani,Bhojpuri,0.48004955068447125
281,Romani,Urdu,0.461813330872452
282,Romani,Hindi,0.47882104646539886
283,Romani,Sanskrit,0.42779739750064105
284,Romani,Pali,0.4636288959615391
285,Sanskrit,Nepali,0.5143244043060008
286,Sanskrit,Assamese,0.4237779282292739
287,Sanskrit,Pali,0.7496247581708819
288,Sanskrit,Kashmiri,0.38562536731388813
289,Sanskrit,Bhojpuri,0.5052503192944877
290,Sanskrit,Dhivehi,0.4167253858190135
291,Sanskrit,Punjabi,0.5347586880483131
292,Sanskrit,English,0.3205283814669597
293,Sanskrit,Marathi,0.5181022979780744
294,Sanskrit,Konkani,0.49619722097292834
295,Sanskrit,Hindi,0.5568958782784409
296,Sanskrit,Odia,0.5032759864252847
297,Sanskrit,Sinhalese,0.5323992851259796
298,Sanskrit,Sindhi,0.4976165422220173
299,Sanskrit,Saraiki,0.513840937155867
300,Sanskrit,Bengali,0.4916062930670706
301,Sanskrit,Urdu,0.5255297229417312
302,Sanskrit,Romani,0.42779739750064105
303,Sanskrit,Gujarati,0.4917206897423138
304,Saraiki,Bengali,0.529234019054585
305,Saraiki,English,0.2793079114565197
306,Saraiki,Odia,0.5128558309602708
307,Saraiki,Sanskrit,0.513840937155867
308,Saraiki,Nepali,0.5726936237173181
309,Saraiki,Hindi,0.6900300119071686
310,Saraiki,Gujarati,0.5593535063629381
311,Saraiki,Assamese,0.47772623094684274
312,Saraiki,Romani,0.45323024409750884
313,Saraiki,Urdu,0.6768290328216715
314,Saraiki,Marathi,0.5327634965891234
315,Saraiki,Sindhi,0.6468959330933105
316,Saraiki,Dhivehi,0.42237980050264384
317,Saraiki,Sinhalese,0.45849419388438856
318,Saraiki,Kashmiri,0.3320778191723672
319,Saraiki,Pali,0.5532205689325542
320,Saraiki,Punjabi,0.7569874254944418
321,Saraiki,Konkani,0.48889468147577175
322,Saraiki,Bhojpuri,0.6030308009604076
323,Sindhi,Odia,0.5192379921963541
324,Sindhi,English,0.3274348818287167
325,Sindhi,Dhivehi,0.4399634105638246
326,Sindhi,Romani,0.4444350514398823
327,Sindhi,Sanskrit,0.4976165422220173
328,Sindhi,Kashmiri,0.41075499192591436
329,Sindhi,Sinhalese,0.4557893977270423
330,Sindhi,Urdu,0.6057529533489967
331,Sindhi,Pali,0.529398936909864
332,Sindhi,Bengali,0.5384179227634484
333,Sindhi,Nepali,0.5957517016293183
334,Sindhi,Konkani,0.4976379281072173
335,Sindhi,Punjabi,0.6158339509156163
336,Sindhi,Hindi,0.6085248583178189
337,Sindhi,Bhojpuri,0.567953321461488
338,Sindhi,Marathi,0.5539725221229708
339,Sindhi,Assamese,0.4630251642213915
340,Sindhi,Gujarati,0.6041657807128247
341,Sindhi,Saraiki,0.6468959330933105
342,Sinhalese,Marathi,0.474138449236759
343,Sinhalese,Saraiki,0.45849419388438856
344,Sinhalese,Dhivehi,0.5179874062416451
345,Sinhalese,Sindhi,0.4557893977270423
346,Sinhalese,Urdu,0.46870590721590055
347,Sinhalese,Konkani,0.43957862227053957
348,Sinhalese,Gujarati,0.42731766840618113
349,Sinhalese,Kashmiri,0.4117416633844461
350,Sinhalese,Punjabi,0.48122194153534226
351,Sinhalese,Bhojpuri,0.44610546817613217
352,Sinhalese,English,0.3004630664605766
353,Sinhalese,Sanskrit,0.5323992851259796
354,Sinhalese,Bengali,0.4399311061153575
355,Sinhalese,Pali,0.5491548869659533
356,Sinhalese,Nepali,0.4734410969887769
357,Sinhalese,Hindi,0.4823207215438503
358,Sinhalese,Odia,0.4562625715178523
359,Sinhalese,Assamese,0.3903592496509856
360,Sinhalese,Romani,0.37363970778901967
361,Urdu,Sinhalese,0.46870590721590055
362,Urdu,Gujarati,0.5999965089567113
363,Urdu,Romani,0.461813330872452
364,Urdu,Assamese,0.5010367236730245
365,Urdu,English,0.3084011431147387
366,Urdu,Pali,0.5633598145330374
367,Urdu,Sindhi,0.6057529533489967
368,Urdu,Marathi,0.5885279116933131
369,Urdu,Punjabi,0.7226414461749175
370,Urdu,Sanskrit,0.5255297229417312
371,Urdu,Hindi,0.8939648215700665
372,Urdu,Saraiki,0.6768290328216715
373,Urdu,Odia,0.5702323488267818
374,Urdu,Kashmiri,0.4118322688140953
375,Urdu,Konkani,0.5371155772121955
376,Urdu,Dhivehi,0.4398495565047209
377,Urdu,Nepali,0.6332073902122212
378,Urdu,Bengali,0.611347177220193
379,Urdu,Bhojpuri,0.7318977012558793
